"ลำดับ","ชื่อชุดการแสดง","ผลการตัดคำ"
"70","การแสดงโขนเรื่องรามเกียรติ์ ตอน พาลีสอนน้อง  ","พาลี | ผู้ครองนคร | ขีดขิน |   | เมื่อ | ใกล้ | จะ | ตาย | ได้ | เรียก | สุครีพ | ผู้ | เป็น | อนุชา | มา | สั่งสอน | ให้ | รับใช้ | พระราม | ด้วย | ความจงรักภักดี |   | พาลี | ได้ | สอน | หลักปฏิบัติ | ใน | การ | รับราชการ | ว่า |   | พระมหากษัตริย์ | ทรง | เป็น | สมมุติเทพ | ผู้ | ที่จะ | เข้า | รับใช้ | จึง | ต้อง | เจียมตน |   | จึง | สอน | สุครีพ | เกี่ยวกับ | หลักราชการ | เป็น | อเนก | ประการ"
"71","การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา","ทศกัณฐ์ | หลงใหล | ใน | ความงาม | ของ | นาง | สีดา |   | จาก | การ | ฟัง | คำบอกเล่า | ของ | นาง | สำมนักขา |   | จึง | สั่ง | ให้ | มารีศ | จำกาย | เป็น | กวางทอง | ไป | ล่อหลอก | นาง | สีดา |   | เมื่อ | นาง | สีดา | เห็น | กวางทอง | ก็ | ขอให้ | พระราม | ไป | ตาม | จับ |   | พระราม | พบ | ว่า | มารีศ | เป็น | ยักษ์ | แปลง | เป็น | กวาง | จึง | ยิง | ด้วย | ศร |   | ก่อน | ตาย | มารีศ | แกล้งทำ | เสียง | เป็น | พระราม | ร้อง | ขอความช่วยเหลือ | นาง | สีดา | ได้ยิน |   | จึง | ให้ | พระลักษมณ์ | ตาม | ไป | ช่วย |   | ทศกัณฐ์ | แปลง | เป็น | ฤาษี | แดง | เข้าไป | ลัก | ตัวนาง | สีดา | กลับ | เข้า | กรุงลงกา"
"72","การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์","สอง | สารัณ | ยักษ์ | ได้ | กราบทูล | ทศกัณฐ์ |   | เรื่อง | ที่ | มังกรกัณฐ์ | และ | แสงอาทิตย์ | ผู้ | เป็น | หลาน |   | ถูก | ฝ่าย | พระราม | สังหาร | สิ้นชีวิต |   | ทศกัณฐ์ | จึง | ใช้ | กาลสูร | ให้ | ไป | แจ้ง | ข่าว | ศึก | แก่ | อินทรชิต |   | กาลสูร | รีบ | ไป | ตาม | พระ | บัญชา |   | ขณะนั้น | อินทรชิต | กำลัง | ทำพิธี | ชุบ | ศรพรหมาสตร์ | จึง | กริ้ว | โกรธ | ที่ | กาลสูร | มา | ทูล | เรื่อง | ร้าย | ให้ | เป็น | ลาง | กลาง | พิธี |   | แต่ | ก็ | ไม่ | อาจ | ขัด | รับสั่ง | ได้ | จำต้อง | ออกจาก | พิธี |   | แล้ว | สั่ง | ให้ | รุทการ | เตรียม | จัด | กองทัพ |   | โดย | ตนเอง | แปลงตัว | เป็น | พระอินทร์ | ให้ | การุณราช | แปลงกาย | เป็น | ช้างเอราวัณ |   | และ | ไพร่พล | แปลง | ตน | เป็น | เทวดา | นางฟ้า |   | หมาย | จะ | ล่อลวง | ฝ่าย | พระราม | ให้ | หลงกล"
"73","การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง","เป็น | โอรส | ของ | พญาทูษณ์ |   | กษัตริย์ | เมือง | จารึก | องค์ | ที่หนึ่ง |   | โอรส | องค์ | ที่ | ห้า | ของ | ท้าวลัสเตียน | กับ | นาง | รัชฎา |   | น้องชาย | ร่วม | บิดา | มารดา | ของ | ทศกัณฐ์ |   | วิรุณจำบัง | มี | ม้า | ทรง | คู่ใจ | ตัว | ดำ | ปาก | แดง | ชื่อ | นิลพาหุ |   | ซึ่ง | สามารถ | หายตัว | ได้ | ทั้ง | ตน | และ | ม้า |   | วิรุณจำบัง | รับอาสา | ทศกัณฐ์ | ยกทัพ | ไป | ทำสงคราม | กับ | พระราม | และ | พลวานร |   | ซึ่ง | กำลัง | มุ่งหน้า | มา | ที่ | กรุงลงกา | เพื่อ | ทวง | นาง | สีดา | คืน |   | โดย | ไป | สมทบ | กับ | ทัพ | ของ | ท้าวสัทธาสูร |   | เจ้าเมือง | อัสดง |   | สหาย | อีก | ตน | ของ | ทศกัณฐ์"
"74","การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข  ","วิรุญมุข | เป็น | โอรส | วิรุญจำบัง |   | ขณะที่ | อินทรชิต | ทำพิธี | ชุบ | ศรนาคบาศ | ที่ | เขาอังกาศ |   | ทศกัณฐ์ | ให้ | มังกรกัณฐ์ | 
 | มา | ขัดตาทัพ | แต่ | ถูก | ฆ่า | ตาย |   | จึง | ให้ | วิรุญมุข | ไป | ขัดตาทัพ | อีกครั้ง |   | วิรุญมุข | นอกจาก | สามารถ | เหาะ | เหิน | เดินอากาศ |   | ได้ | แล้ว | ยัง | หายตัว | พราง | กาย | ได้ | เป็น | เยี่ยม |   | เมื่อ | ชามพูวราช | รับอาสา | พระราม | ไป | ทำลาย | พิธี | อินทรชิต |   | โดย | แปลงร่าง | เป็น | หมี | ไป | กัด | ไม้ | โรง | พิธี | จน | หัก | พัง | อินทรชิต | จึง | ชุบ | ศร | ไม่ | สำเร็จ | ก็ | กลับ | มายัง | สมรภูมิ | รบ | ร่วมกับ | วิรุญมุข |   | วิรุญมุข | ได้ | ใช้ | วิชา | หายตัว | ฆ่า | พลลิง | ตาย | เป็น | จำนวนมาก |   | พิเภก | จึง | ทูล | พระลักษมณ์ | ว่า | เหตุ | ที่ | ลิง | ตาย | เพราะ | วิรุญมุข | หายตัว | ฆ่า | พลลิง |   | พระลักษมณ์ | จึง | แผลงศร | เป็น | ข่ายเหล็ก | รัดตัว | วิรุญมุข | แล้ว | บัญชา | ให้ | หนุมาน | สัก | หน้า | วิรุญมุข | ก่อน | ปล่อยตัว | ไป"
"75","การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกสัทธาสูร  ","ทศกัณฐ์ | ให้ | สัทธาสูร | และ | วิรุญจำบัง | ลูก | พระยาทูษณ์ | ไป | รบ |   | หนุมาน | ออกอุบาย | ให้การ | ขอ | อาวุธ | จาก | เทวดา | ของ | สัทธาสูร | ไม่ | เป็นผล |   | สัทธาสูร | ถูก | หนุมาน | ฆ่า | ตาย |   | ส่วน | วิรุญจำบัง | สู้ | ไม่ | ได้ |   | จึง | ทำ | อุบาย | เพื่อ | จะ | หนี | ได้ | เอา | ผ้า | มา | ทำเป็น | พยนต์ | ขี่ม้า | มา | ต่อสู้ | แทน |   | ส่วน | ตน | จะ | หลบหนี | ไป |   | ต่อมา | พระราม | รู้ | ว่า | วิรุญจำบัง | ที่ | รบ | อยู่ | ไม่ | ใช่ | ตัวจริง |   | ก็ | แผลง | ศรพาลจันทร์ | เป็น | ข่ายเพชร | ล้อม | ผ้า | พยนต์ |   | แล้ว | ให้ | หนุมาน | ตาม | ไป | ฆ่า |   | พบ | นาง | วานรินทร์ |   | นาง | บอกทาง | ให้ | หนุมาน | เหาะ | ไป | สุด | เขาสัตภัณฑ์ | พบ | ฟองน้ำ | ใหญ่ | จึง | จับ | ไว้ |   | วิรุญจำบัง | กลายเป็น | รูป | เดิม | เข้า | ต่อสู้ | แต่ | แพ้ | ได้ | แหวก | น้ำ | ไป | อยู่ | ใต้ | ดินดาล |   | หนุมาน | ตาม | จน | พบ | จับ | วิรุญจำบัง | ฟาด | กับ | ภูเขา | จนตาย"
"76","การแสดงโขนเรื่องรามเกียรติ์ ตอน สามจับ","กุมภกรรณ | ออกอุบาย | ลวง | สุครีพ | ไป | ถอน | ต้นรัง | เพื่อ | หวัง | ทอน | กำลัง | สุครีพ |   | บอกว่า | ถ้า | สุครีพ | ถอน | ต้นรัง | ได้ |   | ตน | จะ | ยอม | ถอยทัพ |   | สุครีพ | ไป | ถอน | ต้นรัง | จน | หมดแรง | กลับมา | สู้ | กุมภกรรณ | ไม่ | ได้ |   | หนุมาน | กับ | องคต | ต้อง | มา | ช่วย | สุครีพ | ต่อสู้ | กับ | กุมภกรรณ |   | ถึง | เอาชนะ | ได้"
"77","การแสดงโขนเรื่องรามเกียรติ์ ตอน สุครีพถอนต้นรัง  ","กุมภกรรณ | อนุชา | ของ | ทศกัณฐ์ |   | จำต้อง | ยอม | ออกศึก | ตามคำสั่ง | ของ | ทศกัณฐ์ | ผู้ | เป็น | เชษฐา |   | เมื่อ | ยกทัพ | มา | พบ | สุครีพ |   | นาย | ทัพหน้า | ฝ่าย | พลับพลา |   | กุมภกรรณ | ออกอุบาย | ลวง | สุครีพ | ไป | ถอน | ต้นรัง | เพื่อ | หวัง | ทอน | กำลัง | สุครีพ |   | โดย | บอกว่า | ถ้า | ถอน | ได้ | ตน | จะ | ยอม | ถอยทัพ |   | สุครีพ | ก็ | ไป | ถอน | ต้นรัง |   | ตาม | คำ | ท้า | จน | เหนื่อย | จุก | หมดแรง |   | กลับมา | สู้ | กุมภกรรณ | ไม่ | ได้ |   | หนุมาน | กับ | องคต | ต้อง | มา | ช่วย | รุมทึ้ง | กุมภกรรณ | ถึง | เอาชนะ | ได้"
"78","กินนรีร่อนออกมโนราห์บูชายัญ","ระบำ | กินรี | ร่อน |   | เป็น | การแสดง | ชุด | หนึ่ง | ใน | การแสดง | ละครชาตรี | เรื่อง |   | มโนราห์ |   | ลักษณะ | กระบวนท่ารำ | แสดงถึง | อากัปกิริยา | ของ | นางกินรี | พี่น้อง | ทั้ง |   | 7 |   | นาง |   | ที่ | ชักชวน | กัน | บิน | ร่อน | ลง | เล่นน้ำ | ที่ | สระอโนดาต"
"79","เมขลา รามสูร ","เมขลา |   | รามสูร |   | เป็น | ตัวละคร | ที่ | ปรากฏ | ใน | ตำนาน | เทพนิยาย | ของ | ไทย | มา | แต่ | โบราณ | แสดง | ลีลา | การ | ไล่ติดตาม | ระหว่าง | รามสูร | กับ | นาง | เมขลา |   | จาก | มูลเหตุ | ที่ | นาง | เมขลา | เทพธิดา | ที่ | คอย | ช่วยเหลือ | ผู้ | คนใน | ท้องทะเล |   | เดินทาง | ออกจาก | วิมาน | ไป | ร่วม | ร่ายรำ | กับ | เหล่า | เทวดา | นางฟ้า | ใน | ช่วง | วสันตฤดู |   | ( | ฤดูฝน | ) |   | พร้อม | โยน | ดวงแก้ว | ประ | จำกาย | ให้ | เกิด | แสง | อย่าง | งดงาม |   | ขณะเดียวกัน | รามสูร | ซึ่ง | เป็น | อสูร | เทพบุตร | ได้ | เหาะ | มา | พบ | และ | เห็น | แสง | จาก | ดวงแก้ว |   | จึง | ไล่ติดตาม | เพื่อ | ช่วงชิง | ดวงแก้ว | มา | เป็น | ของ | ตน"
"80","รจนาเสี่ยงพวงมาลัย","เป็น | การแสดง | ที่ | มี | ลักษณะพิเศษ | ตอน | หนึ่ง |   | ใน | บทละคร | เรื่อง | สังข์ทอง |   | ซึ่ง | มี | พระสังข์ | เป็น | พระเอก |   | และ | รจนา | เป็น | นางเอก |   | ใน | ตอน | รจนา | เสี่ยง | พวงมาลัย | นี้ | มี | ชื่อเรื่อง | ว่า |   | พระสังข์ |   | ซึ่ง | ตัวจริง | รูปร่าง | สวยงาม |   | ผิว | เป็น | ทอง | ทั้งตัว |   | แต่ | แกล้ง | ปลอม | แปลงตัว | โดย | เอา | รูป | เงาะ | เข้า | สวมใส่ | แล้ว | แกล้งทำ | เป็นบ้า | ใบ้ |   | พระสังข์ | ใน | ตอนนี้ | จึง | ถูก | เรียก | ตาม | รูปนอก | ว่า |   | “ | เจ้าเงาะ | ” |   | แล้ว | ถูก | พา | มา | ให้ | เจ้า | รจนา |   | ซึ่ง | เป็น | เจ้าหญิง | เลือกคู่ |   | เนื่องจาก | เป็น | บุปเพสันนิวาส |   | นาง | รจนา | จึง | มองเห็น | รูปทอง | ข้างใน | ของ | เจ้าเงาะ |   | แล้ว | ทิ้ง | พวงมาลัย | ให้ | เพื่อ | เลือก | พระสังข์ |   | คือ | เจ้าเงาะ | ปลอม |   | เป็น | สวามี"
"81","ระบำกรับ ","เป็น | ระบำ | ที่ | ใช้ | กรับพวง | ประกอบ | การแสดง |   | ซึ่ง |   | "" | กรับพวง | "" |   | เป็น | เครื่อง | ดนตรีไทย | ชนิด | หนึ่ง |   | โดย | ผู้แสดง | ใช้ | มือขวา |   | ถือ | กรับพวง |   | ตี | กระทบ | ส่วน | ต่าง ๆ |   | ของ | ร่างกาย |   | เช่น |   | ฝ่ามือ |   | ไหล่ |   | ต้นขา |   | เป็นต้น |   | ร่ายรำ | ตาม | ท่วงทำนอง | และ | จังหวะ | ของ | เพลง | ที่ | มี | ทั้ง | ช้า | และ | เร็ว"
"82","ระบำกฤดาภินิหาร","เป็น | การแสดง | ชุด | หนึ่ง | ที่อยู่ | ใน | ละคร | ประวัติศาสตร์ |   | เรื่อง | เกียรติศักดิ์ไทย |   | โดย | ผู้แสดง | แต่งกายยืนเครื่องพระ-นาง |   | เปรียบเสมือน | เทพบุตร | เทพธิดา |   | ถือ | พาน | ดอกไม้ | ประกอบ | การร่ายรำ | พร้อม | โปรย | ดอกไม้ | เพื่อ | อำนวยพร | ให้ | เกิด | ความ | สวัสดิมงคล | แก่ | การแสดง | และ | ผู้ชม | โดย | ทั่วกัน |   | นอกจากนี้ | สามารถ | จัดแสดง | ใน | งาน | ต่างๆ | เพื่อ | ความ | เป็น | สิริมงคล"
"83","ระบำกินรีร่อน","กล่าวถึง | เหล่า | กินรี | ที่ | มี | ลักษณะ | เป็น | มนุษย์ | ผู้หญิง |   | ซึ่ง | มี | ปีก | หาง | ประดุจ | นก |   | พา | กัน | บิน | ร่อน | ลง | มาจาก | เขาไกรลาส | เพื่อ | เล่นน้ำ | ใน | สระอโนดาต |   | มี | ลีลา | การ | เริงระบำ | อ่อนช้อย | งดงาม |   | สนุกสนาน |   | ตาม | ท่วงทำนอง | และ | จังหวะ | เพลง"
"84","ระบำฉิ่ง","เป็น | ระบำ | ที่ | ใช้ | ฉิ่ง | ประกอบ | การแสดง |   | ซึ่ง |   | "" | ฉิ่ง | "" |   | เป็น | เครื่อง | ดนตรีไทย | ที่ | ใช้ | กำกับ | จังหวะ | ใน | วง | ดนตรีไทย | ทุก | ประเภท |   | โดย | ผู้แสดง | ใช้ | มือ | ทั้งสอง | ถือ | ฉิ่ง |   | ร่ายรำ | พร้อมกับ | ตี | กระทบ | ให้ | เกิด | เสียง |   | "" | ฉิ่ง | "" |   | "" | ฉับ | "" |   | และ |   | "" | รัวฉิ่ง | "" |   | อย่าง | ต่อเนื่อง |   | ตาม | ท่วงทำนอง |   | จังหวะ | ของ | เพลง | ที่ | ประกอบด้วย | จังหวะ | ช้า | และ | จังหวะ | เร็ว"
"85","ระบำชุดไทยพระราชนิยม ","สร้างสรรค์ | ขึ้น | โดย | นำ | เครื่องแต่งกาย | สำหรับ | สตรี | ไทย | ตาม | แบบ | ฉลองพระองค์ | ของ | สมเด็จพระนางเจ้าสิริกิติ์ พระบรมราชินีนาถ |   | พระบรมราชชนนีพับปีหลวง |   | ประกอบด้วย |   | ไทยเรือนต้น |   | ไทยจิตรลดา |   | ไทยอมรินทร์ |   | ไทยบรมพิมาน |   | ไทยจักรี |   | ไทยดุสิต |   | ไทยจักรพรรดิ์ |   | และ | ไทยศิวาลัย |   | ประดิษฐ์ | ลีลา | ท่า | รำ | ตาม | บทร้อง | เพื่อ | การอนุรักษ์ | และ | เผยแพร่ | เครื่องแต่งกาย | สตรี | ไทย"
"86","ระบำดาวดึงส์ ","เป็น | ระบำมาตรฐาน | ที่อยู่ | ใน | ละครดึกดำบรรพ์ |   | เรื่อง | สังข์ทอง |   | ผู้แสดง | แต่งกายยืนเครื่องพระ-นาง |   | เปรียบเสมือน | เทพบุตร |   | เทพธิดา |   | จับระบำ | ด้วย | ลีลา | ท่า | รำ | ที่ | งดงาม |   | บรรยาย | ถึง | ทิพยวิมาน | อัน | ยิ่งใหญ่ |   | ซึ่ง | เป็นที่ | ประทับ | ของ | พระอินทร์ | บน | สวรรค์ | ชั้น | ดาวดึงส์"
"87","ระบำเทพบันเทิง ","เป็น | ระบำมาตรฐาน | ที่อยู่ | ใน | ละครใน | เรื่อง | อิเหนา |   | ผู้แสดง | แต่งกายยืนเครื่องพระ-นาง |   | เปรียบเสมือน | เทพบุตร |   | เทพธิดา |   | ร่ายรำ | ด้วย | ลีลา | ท่า | รำ | ที่ | งดงาม | เพื่อ | บูชา | ชา | ถวาย | เทพ | ผู้ | ศักดิ์สิทธิ์ |   | คือ |   | "" | องค์ปะตาระกาหลา | "" |   | นอกจากนี้ |   | สามารถ | จัดแสดง | ใน | งาน | ต่างๆ |   | เพื่อ | ความ | เป็น | สิริมงคล"
"88","ระบำนพรัตน์","เป็น | ระบำ | ที่ | สร้างสรรค์ | จาก | ความเชื่อ | ใน | คุณค่า | ของ | อัญมณี |   | ที่ | เสริม | ความ | เป็น | สิริมงคล | แก่ | ผู้ | ประดับ |   | โดย | ผู้แสดง | เปรียบเสมือน | อัญมณี |   | 9 |   | ชนิด |   | ประกอบด้วย |   | เพชร |   | ทับทิม |   | มรกต |   | บุษราคัม |   | โกเมน |   | นิล |   | มุก |   | เพทาย |   | และ | ไพฑูรย์"
"89","ระบำพรมมาสตร์","เป็น | ระบำ | ของ | เหล่า | เทวดา | นางฟ้า |   | สำหรับ | แสดง | ประกอบ | การแสดง | โขน |   | เรื่อง | รามเกียรติ์ |   | ชุด | ศึก | พรหมาสตร์ |   | เนื้อเรื่อง | กล่าวถึง | อินทรชิต | โอรส | ของ | ทศกัณฐ์ |   | กำลัง | ทำสงคราม | ติดพัน | อยู่ | กับ | พระลักษมณ์ |   | จึง | ใช้ | กลยุทธ | ลวง | พระลักษมณ์ | และ | กองทัพ | วานร |   | โดย | อินทรชิต | ได้ | แปลงกาย | เป็น | พระอินทร์ |   | และ | ให้ | การุณราช | แปลงตัว | เป็น | ช้างเอราวัณ |   | ซึ่ง | เป็น | พาหนะ | ทรง | ของ | ตน |   | อีก | ทั้ง | ให้ | บรรดา | พล | ยักษ์ | นักรบ | ใน | กองทัพ | แปลงกาย | เป็น | เทพบุตร |   | และ | นางฟ้า |   | พา | กัน | เหาะ | ฟ้อนรำ |   | นำ | ขบวน | ไป | หน้า | ช้าง |   | เพื่อ | ลวง | พระลักษมณ์ |   | และ | กองทัพ | วานร |   | ว่า | ขบวน | เสด็จ | ของ | พระอินทร์ | กำลัง | เสด็จ | ผ่าน | มา | ใน | กลางอากาศ"
"90","ระบำย่องหงิด","เป็น | ระบำ | ที่อยู่ | ใน | ละครใน | เรื่อง | อุณรุท |   | ตอน | ศุภลักษณ์ | วาดรูป | ซึ่ง | มี | เนื้อเรื่อง | กล่าวถึง |   | นาง | ศุภลักษณ์ | พี่เลี้ยง | ของ | นาง | อุษา | ได้ | ขอ | อาสา | ขึ้นไป | วาดรูป | เทพบุตร | บน | สวรรค์ |   | ขณะที่ | นาง | ศุภลักษณ์ | ขึ้นไป | บน | สวรรค์ | นั้น |   | ได้ | พบ | กับ | เหล่า | เทพบุตร | เทพธิดา | จับระบำ | กัน | ด้วย | ความรื่นเริง |   | บันเทิงใจ |   | ระบำ | ย่องหงิด |   | เป็น | ระบำ | ที่ | มี | กระบวนท่ารำ | ที่ | งดงาม | และ | มี | การแปร | แถว | ที่ | สอด | ประสานกัน | ได้ | อย่าง | กลมกลืน | ตาม | รูปแบบ | นาฏศิลป์ไทย | ท่วงท่า | ต่าง ๆ |   | มี | ลีลา | งดงาม | ตาม | คำร้อง |   | และ | ทำนองเพลง | ลักษณะ | การแสดง | เป็น | การรำ | เป็น | หมู่ | คู่ | กัน | ระหว่าง | เทวดา | และ | นางฟ้า"
"91","ระบำวิชนี","สร้างสรรค์ | ขึ้น | ด้วย | แนวคิด | ความนิยม | ใน | การ | ใช้ | พัด |   | เพื่อ | บรรเทา | ความร้อน | จาก | สภาพอากาศ | ของ | ประเทศไทย |   | ผู้แสดง | เป็น | หญิงสาว | แต่งกาย | ชุด | นางใน | ราชสำนัก |   | มือขวา | ถือ | พัด |   | "" | วิชนี | "" |   | ร่ายรำ | ตาม | ทำนองเพลง | และ | บทร้อง"
"92","ระบำศรีชยสิงห์","เป็น | ระบำ | ที่ | สร้างสรรค์ | ท่า | รำ | และ | เครื่องแต่งกาย | เลียนแบบ | ภาพจำหลัก | ของ | นางอัปสราบายน |   | บริเวณ | ปราสาทเมืองสิงห์ |   | ริมแม่น้ำ | แควน้อย |   | จังหวัด | กาญจนบุรี |   | ปรากฏ | ใน | จารึก | ปราสาทพระขรรค์ |   | สมัย | พระเจ้าชัยวรมัน | ที่ |   | 7 |   | ว่า | ดินแดน | แถบ | นี้ | มีวัฒนธรรม | ดั้งเดิม | ผสมผสาน | ระหว่าง |   | มอญ |   | ขอม |   | และ | ไทย"
"93","รำซัดชาตรี","เป็น | การแสดง | ที่ | ปรับปรุง | มาจาก | การ | รำซัด | ไหว้ครู | ใน | การแสดง | ละครชาตรี |   | เป็น | รูปแบบ | การรำ | เบิกโรง | ก่อน | การแสดง | ละครใน | ลักษณะ | การ | รำคู่ |   | ประกอบด้วย | ผู้แสดงฝ่ายชาย | และ | ผู้แสดงฝ่ายหญิง | แสดง | ลีลา | ท่า | รำ | รวดเร็ว | ตาม | ท่วงทำนอง | ดนตรี"
"94","รำเบิกโรงดอกไม้เงินทอง","เป็น | ระบำ | เบิกโรง | ละครใน | พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว | โปรด | ให้ | ประดิษฐ์ | ขึ้น | ใหม่ | โดย | ใช้ | ผู้แสดง | สอง | คน | แต่งกายยืนเครื่องพระ |   | มือขวา | ถือ | ดอกไม้ทอง | ส่วน | มือซ้าย | ถือ | ดอกไม้เงิน |   | ร่ายรำ | ตาม | บทร้อง | และ | ทำนองเพลง |   | มุ่ง | ให้ | เกิด | ความ | สวัสดิมงคล | แก่ | การแสดง |   | และ | ผู้ชม | โดย | ทั่วกัน"
"95","รำประเลง","เป็น | การรำ | เบิกโรง | ละครใน |   | อัน | มี | มา | แต่ | โบราณ | โดย | ถือ | กัน | ว่า |   | เป็น | ประเพณี | ที่ | ต้อง | แสดง | ก่อน | เริ่ม | การแสดง | เรื่องใหญ่ |   | ใช้ | ผู้แสดง | แต่งกายยืนเครื่องพระ | และ | สวม | หัว | เทวดา | โล้น |   | ปิดหน้า |   | 2 |   | คน |   | สมมติ | ว่า | เป็น | เทวดา | ถือ | หางนกยูง | ทั้งสอง | มือ |   | ออกมา | รำ | ตาม | ทำนอง | เพลงหน้าพาทย์ |   | ซึ่ง | อาจ | ใช้ | เพลงกลม | หรือ | โคมเวียน |   | แล้ว | ออก | ด้วย | เพลงชำนาญ |   | อันเป็น | เพลง | ประกอบ | อิริยาบถ | ไปมา | ของ | ผู้ | มี | อิทธิฤทธิ์ | ศักดิ์สิทธิ์ |   | เพื่อให้ | เกิด | สวัสดิมงคล | และ | ปัด | รังควาญ |   | ป้องกัน | เสนียดจัญไร |   | ที่จะ | เป็น | อุปสรรค | แก่ | การแสดง | ต่อไป"
"96","รำฝรั่งคู่","เป็น | การแสดง | รำคู่ | ชุด | หนึ่ง |   | ผู้แสดง | ร่ายรำ | ด้วย | ลีลา | ประกอบ | ทำนอง | เพลงฝรั่งรำเท้า |   | ตะเขิ่ง |   | เจ้าเซ็น |   | เพลงเร็ว |   | เพลงฉิ่ง |   | จีนรัว |   | จีนรำพัด | และ | จีนถอน | แต่งกายยืนเครื่องพระ-นาง |   | มือ | ทั้งสอง | ถือ | พัด | ประกอบ | การร่ายรำ |   | ใน | ช่วง | ท้าย | ของ | การแสดง"
"97","รำพลายชุมพล","การรำ | พลายชุมพล | แต่งตัว | เป็นการ | รำเดี่ยว | ที่อยู่ | ใน | ละครเสภา |   | เรื่อง | ขุนช้าง | ขุนแผน |   | ตอน | พระไวย | แตกทัพ |   | ใน | ตอนนี้ | ได้ | กล่าวถึง | พลายชุมพล |   | จะ | ออก | ไป | ทำศึก | กับ | พระไวย |   | โดย | ปลอมตัว | เป็น | มอญ | ไป | ออกรบ | กับ | พระไวย |   | เพื่อ | หวัง | คิด | แก้แค้น | ที่ | พระไวย | เคย | มี | วาจา | ล่วงเกิน | ตน |   | ใช้ | ทำนอง | เพลงมอญดูดาว | ประกอบ | ถึง | เนื้อเรื่อง | บรรยาย | ถึง | การ | แต่งตัว | แสดงให้เห็น | ถึง | ความ | องอาจ | สง่างาม | ของ | ตัวละคร | พลายชุมพล"
"98","รำมโนห์ราบูชายัญ","เป็น | การแสดง | รำเดี่ยว |   | กล่าวถึง | นาง | มโนห์รา |   | มนุษย์ | ผู้หญิง | ที่ | มี | ปีก | หาง | ประดุจ | นก |   | การแสดง | มุ่งเน้น | ลีลา | การร่ายรำ | รอบ | กองไฟ |   | ใน | พิธี | บูชายัญ | ก่อน | บินหนี | กลับ | ไป | ยัง | เขาไกรลาส"
"99","รำแม่บท","เป็น | รำมาตรฐาน | ใช้ | สำหรับ | การ | ฝึกหัด | เบื้องต้น | ด้าน | นาฏศิลป์ | ไทย |   | บทร้อง | กำหนด | ชื่อ | ท่า | รำ | ไว้ | อย่าง | ชัดเจน |   | แต่งกายยืนเครื่องพระ-นาง |   | รำ | แม่บท | นี้ | เป็นต้นแบบ | ใน | การ | สร้าง | กระบวนท่ารำ | ใน | การแสดง | ชุด | ต่าง ๆ"
"100","หนุมานจับนางเบญกาย ","หนุมาน | จับนาง | เบญกาย |   | เป็น | การแสดง | ชุด | หนึ่ง | อยู่ | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | แสดงถึง | ลีลา | ร่ายรำ | ใน | การ | ไล่ติดตาม | และ | เกี้ยวพาราสี | ระหว่าง | หนุมาน | ซึ่ง | เป็น | วานร | กับ | นาง | เบญกาย | ซึ่ง | เป็น | ยักษิณี |   | จาก | มูลเหตุ | ที่ | นาง | เบญกาย | ได้รับ | คำสั่ง | จาก | ทศกัณฐ์ | ให้ | ปลอม | เป็น | นาง | สีดา | แสร้ง | ตาย | ลอยน้ำ | เป็น | อุบาย | ให้ | พระราม | ยกทัพ | กลับ | ไป |   | แต่ | ถูก | พิสูจน์ | เพื่อ | หา | ตัวตน | แท้จริง | โดย | การนำ | ไป | เผา | ไฟ |   | เมื่อ | นาง | ทน | ต่อ | ความร้อน | ไม่ | ได้ | จึง | คืน | ร่าง | กลับ | ดังเดิม |   | แล้ว | พยายาม | เหาะ | หลบหนี |   | แต่ | หนุมาน | ไล่ตาม | จับ | ไว้ | ได้"
"101","หนุมานจับนางสุพรรณมัจฉา","หนุมาน | จับนาง | สุพรรณมัจฉา |   | เป็น | การแสดง | ชุด | หนึ่ง | อยู่ | ใน | การแสดง | โขน | เรื่อง | รามเกียรติ์ |   | กระบวนท่ารำ | สื่อ | ถึง | การ | ไล่จับ |   | และ | การเกี้ยวพาราสี | ของ | ตัวละคร | ระหว่าง | หนุมาน | ซึ่ง | เป็น | วานร | กับ | นาง | สุพรรณมัจฉา | ซึ่ง | เป็น | ผู้หญิง | ที่ | มี | หาง | เป็น | ปลา |   | จาก | มูลเหตุ | ที่ | นาง | สุพรรณมัจฉา | พา | เหล่า | บริวาร | ปลา | มา | คาบ | ก้อนหิน | เพื่อ | ขัดขวาง | มิ | ให้ | กองทัพ | ของ | พระราม | ทำ | ถนน | ข้าม | มหาสมุทร |   | เพื่อ | เดินทาง | ไป | ช่วย | นาง | สีดา | ที่ | กรุงลงกา"
