ลำดับ,ชื่อชุดการแสดง,คำอธิบายชุดการแสดง,ผลการตัดคำ
58,การแสดงโขนเรื่องรามเกียรติ์ ชุดยกรบ ,กล่าวถึงการทำสงครามระหว่างกองทัพฝ่ายพระรามและฝ่ายทศกัณฐ์ แสดงถึงกระบวนการรบระหว่างพระราม พระลักษมณ์ พร้อมด้วยไพร่พลวานรกับทศกัณฐ์เจ้ากรุงลงกา แสดงให้เห็นชั้นเชิงและลีลาการรบด้วยอาวุธ การต่อตัวของตัวละครหรือที่เรียกว่า “การขึ้นลอย”,กล่าวถึง | การ | ทำสงคราม | ระหว่าง | กองทัพ | ฝ่าย | พระราม | และ | ฝ่าย | ทศกัณฐ์ |   | แสดงถึง | กระบวน | การรบ | ระหว่าง | พระราม |   | พระลักษมณ์ |   | พร้อมด้วย | ไพร่ | พลวานร | กับ | ทศกัณฐ์ | เจ้า | กรุงลงกา |   | แสดงให้เห็น | ชั้นเชิง | และ | ลีลา | การรบ | ด้วย | อาวุธ |   | การ | ต่อตัว | ของ | ตัวละคร | หรือ | ที่ | เรียก | ว่า |   | “ | การขึ้นลอย | ”
59,การแสดงโขนเรื่องรามเกียรติ์ ตอน  จองถนน,หลังจากที่พระรามได้นำพลวานรจากเมืองขีดขิน และเมืองชมพู ยกทัพมาตั้งอยู่ตรงข้ามกับเกาะกรุงลงกา พระรามจึงปรึกษาหาวิธีที่จะข้ามไปยังกรุงลงกา ข้าทหารทั้งหลายต่างทูลอาสาต่าง ๆ กันไป เช่น เหาะข้ามทะเลไปถึงกรุงลงกา โน้มพระเมรุบรรพตใช้เป็นทาง วิดน้ำในทะเลให้แห้งข้ามไป ให้ลิงขยายร่างใหญ่โตนำไพร่พลลิงใส่มือข้ามไป นิมิตเป็นสำเภาใหญ่ใช้ข้ามไป หรือเอาหางพาดเชื่อมสองฝั่งให้ไพร่พลลิง ไต่ข้ามไป ชามพูวราชกราบทูลพระรามว่าการจะทำสิ่งเหล่านั้นไม่สมพระเกียรติยศสมควรให้ไพร่พลลิงไปขนหินมาทิ้งลงทะเล หรือ “จองถนน” ข้ามไปยังกรุงลงกา,หลังจากที่ | พระราม | ได้ | นำ | พลวานร | จาก | เมืองขีดขิน |   | และ | เมืองชมพู |   | ยกทัพ | มา | ตั้งอยู่ | ตรงข้าม | กับ | เกาะ | กรุงลงกา |   | พระราม | จึง | ปรึกษา | หา | วิธี | ที่จะ | ข้าม | ไป | ยัง | กรุงลงกา |   | ข้า | ทหาร | ทั้งหลาย | ต่าง | ทูล | อาสา | ต่าง ๆ |   | กัน | ไป |   | เช่น |   | เหาะ | ข้าม | ทะเล | ไป | ถึง | กรุงลงกา |   | โน้ม | พระเมรุ | บรรพต | ใช้ | เป็น | ทาง |   | วิดน้ำ | ใน | ทะเล | ให้ | แห้ง | ข้าม | ไป |   | ให้ | ลิง | ขยาย | ร่าง | ใหญ่โต | นำ | ไพร่ | พลลิง | ใส่ | มือ | ข้าม | ไป |   | นิมิต | เป็น | สำเภา | ใหญ่ | ใช้ | ข้าม | ไป |   | หรือ | เอา | หาง | พาด | เชื่อม | สอง | ฝั่ง | ให้ | ไพร่ | พลลิง |   | ไต่ | ข้าม | ไป |   | ชามพูวราช | กราบทูล | พระราม | ว่าการ | จะ | ทำ | สิ่ง | เหล่านั้น | ไม่ | สม | พระ | เกียรติยศ | สมควร | ให้ | ไพร่ | พลลิง | ไป | ขน | หิน | มา | ทิ้ง | ลง | ทะเล |   | หรือ |   | “ | จองถนน | ” |   | ข้าม | ไป | ยัง | กรุงลงกา
60,การแสดงโขนเรื่องรามเกียรติ์ ตอน  นารายณ์ปราบนนทก,นนทกเป็นยักษ์ที่นั่งประจำอยู่เชิงบันไดเขาไกลลาศ มีหน้าที่ล้างเท้าให้เหล่าเทวดาที่มาเข้าเฝ้าพระอิศวร แต่ถูกรังแกอยู่เป็นประจำ นนทกเข้าเฝ้าพระอิศวรแล้วกราบทูลขอนิ้วเพชรที่มีฤทธิ์ชี้ผู้ใดก็ให้ผู้นั้นตาย พระอิศวรเห็นว่านนทกปฏิบัติหน้าที่รับใช้พระองค์มานาน จึงประทานพรให้ตามที่ขอ ไม่นานนักนนทกก็มีใจกำเริบไม่ปฏิบัติหน้าที่ พระอิศวรทรงทราบก็กริ้วโปรดให้พระนารายณ์ไปปราบนนทก,นนทก | เป็น | ยักษ์ | ที่นั่ง | ประจำ | อยู่ | เชิงบันได | เขาไกลลาศ |   | มี | หน้าที่ | ล้าง | เท้า | ให้ | เหล่า | เทวดา | ที่มา | เข้าเฝ้า | พระอิศวร |   | แต่ | ถูก | รังแก | อยู่ | เป็นประจำ |   | นนทก | เข้าเฝ้า | พระอิศวร | แล้ว | กราบทูล | ขอ | นิ้วเพชร | ที่ | มีฤทธิ์ | ชี้ | ผู้ใด | ก็ | ให้ | ผู้ | นั้น | ตาย |   | พระอิศวร | เห็นว่า | นนทก | ปฏิบัติหน้าที่ | รับใช้ | พระองค์ | มา | นาน |   | จึง | ประทาน | พร | ให้ | ตามที่ | ขอ |   | ไม่ | นาน | นัก | นนทก | ก็ | มีใจ | กำเริบ | ไม่ | ปฏิบัติหน้าที่ |   | พระอิศวร | ทรง | ทราบ | ก็ | กริ้ว | โปรด | ให้ | พระนารายณ์ | ไป | ปราบ | นนทก
61,การแสดงโขนเรื่องรามเกียรติ์ ตอน  ศึกแสงอาทิตย์,แสงอาทิตย์ตัวละครฝ่ายลงกา เป็นโอรสองค์ที่สองของพญาขร เป็นอนุชาของมังกรกัณฐ์ มีอาวุธเป็นแว่นแก้วสุรกานต์ที่พระพรหมประทานให้ หากใช้ส่องไปที่ใครจะทำให้ผู้นั้นถึงแก่ความตาย ทศกัณฐ์สั่งให้แสงอาทิตย์ยกทัพออกไปรบกับพระราม พิเภกทูลพระรามว่าแสงอาทิตย์มีแว่นแก้วสุรกานต์เป็นอาวุธฝากไว้ที่พระพรหม กองทัพพระรามจึงวางอุบายเพื่อชิงแว่นแก้วสุรกานต์,แสงอาทิตย์ | ตัวละคร | ฝ่าย | ลงกา |   | เป็น | โอรส | องค์ | ที่สอง | ของ | พญาขร |   | เป็น | อนุชา | ของ | มังกรกัณฐ์ |   | มี | อาวุธ | เป็น | แว่นแก้วสุรกานต์ | ที่ | พระพรหม | ประทาน | ให้ |   | หาก | ใช้ | ส่อง | ไป | ที่ | ใคร | จะ | ทำให้ | ผู้ | นั้น | ถึง | แก่ | ความตาย |   | ทศกัณฐ์ | สั่ง | ให้ | แสงอาทิตย์ | ยกทัพ | ออก | ไป | รบ | กับ | พระราม |   | พิเภก | ทูล | พระราม | ว่า | แสงอาทิตย์ | มี | แว่นแก้วสุรกานต์ | เป็น | อาวุธ | ฝาก | ไว้ | ที่ | พระพรหม |   | กองทัพ | พระราม | จึง | วาง | อุบาย | เพื่อ | ชิง | แว่นแก้วสุรกานต์
62,การแสดงโขนเรื่องรามเกียรติ์ ตอน  หนุมานชาญสมร,"""หนุมาน"" ทหารเอกของพระราม ถ่ายทอดเรื่องราวของหนุมานตั้งแต่การเตรียมการให้กำเนิดหนุมาน พระอิศวรมีบัญชาให้พระพายเป็นบิดา นำเทพศาสตราและพละกำลังของพระองค์ไปซัดใส่ปากนางสวาหะ ให้บังเกิดบุตรเป็นวานรและประทานนามว่า “หนุมาน” นางสวาหะได้บอกกับหนุมานว่าหากมีผู้ใดแลเห็นและมาทักทายถึงกุณฑล ขนเพชร เขี้ยวแก้วที่มีประจำกาย ผู้นั้นคือองค์พระนารายณ์อวตารให้เข้าสวามิภักดิ์ฝากตัวเป็นข้ารับใช้จนถึงถวายพลกับพระราม และร่วมกองทัพฝ่ายพลับพลายกทัพไปกรุงลงกา",""" | หนุมาน | "" |   | ทหารเอก | ของ | พระราม |   | ถ่ายทอด | เรื่องราว | ของ | หนุมาน | ตั้งแต่ | การ | เตรียม | การให้กำเนิด | หนุมาน |   | พระอิศวร | มี | บัญชา | ให้ | พระพาย | เป็น | บิดา |   | นำ | เทพ | ศาสตรา | และ | พละกำลัง | ของ | พระองค์ | ไป | ซัด | ใส่ | ปาก | นาง | สวาหะ |   | ให้ | บังเกิด | บุตร | เป็น | วานร | และ | ประทาน | นาม | ว่า |   | “ | หนุมาน | ” |   | นาง | สวาหะ | ได้ | บอก | กับ | หนุมาน | ว่า | หาก | มี | ผู้ใด | แลเห็น | และ | มา | ทักทาย | ถึง | กุณฑล |   | ขนเพชร |   | เขี้ยวแก้ว | ที่ | มี | ประ | จำกาย |   | ผู้ | นั้น | คือ | องค์ | พระนารายณ์ | อวตาร | ให้ | เข้า | สวามิภักดิ์ | ฝากตัว | เป็น | ข้า | รับใช้ | จนถึง | ถวาย | พล | กับ | พระราม |   | และ | ร่วม | กองทัพ | ฝ่าย | พลับพลา | ยกทัพ | ไป | กรุงลงกา"
63,การแสดงโขนเรื่องรามเกียรติ์ ตอน กุมภกรรณพุ่งหอกโมกขศักดิ์,กุมภกรรณ เป็นอนุชาของทศกัณฐ์ ดำรงตำแหน่ง อุปราชแห่งกรุงลงกา กุมภกรรณเป็นพญายักษ์ที่ครองธรรมรักษาไว้ซึ่งสัจจะและความสุจริตยุติธรรม หลังจากที่มัยราพณ์ พระนัดดาสิ้นชีพลง ทศกัณฐ์ ได้รำพึงถึงการศึกที่จะทำสงครามกับฝ่ายพระราม ทศกัณฐ์นึกถึงกุมภกรรณ จึงเชิญขึ้นมาเฝ้าปรึกษาศึก กุมภกรรณทูลให้ทศกัณฐ์ส่งนางสีดาคืนไป แต่ทศกัณฐ์กริ้วจึงประกาศโทษและขับไล่กุมภกรรณเห็นว่า เมื่อทัดทานมิเป็นผลจึงจำใจรับอาสาออกทำสงคราม โดยจะนำหอกโมกขศักดิ์อันมีฤทธิ์ร้ายกาจ ซึ่งฝากไว้กับพระพรหมสู้ศึกกับพระราม,กุมภกรรณ |   | เป็น | อนุชา | ของ | ทศกัณฐ์ |   | ดำรงตำแหน่ง |   | อุปราช | แห่ง | กรุงลงกา |   | กุมภกรรณ | เป็น | พญา | ยักษ์ | ที่ | ครอง | ธรรม | รักษา | ไว้ | ซึ่ง | สัจจะ | และ | ความ | สุจริต | ยุติธรรม |   | หลังจากที่ | มัยราพณ์ |   | พระ | นัดดา | สิ้นชีพ | ลง |   | ทศกัณฐ์ |   | ได้ | รำพึง | ถึง | การศึก | ที่จะ | ทำสงคราม | กับ | ฝ่าย | พระราม |   | ทศกัณฐ์ | นึกถึง | กุมภกรรณ |   | จึง | เชิญ | ขึ้น | มา | เฝ้า | ปรึกษา | ศึก |   | กุมภกรรณ | ทูล | ให้ | ทศกัณฐ์ | ส่ง | นางสีดา | คืน | ไป |   | แต่ | ทศกัณฐ์ | กริ้ว | จึง | ประกาศ | โทษ | และ | ขับไล่ | กุมภกรรณ | เห็นว่า |   | เมื่อ | ทัดทาน | มิ | เป็นผล | จึง | จำใจ | รับอาสา | ออก | ทำสงคราม |   | โดย | จะ | นำ | หอกโมกขศักดิ์ | อัน | มีฤทธิ์ | ร้ายกาจ |   | ซึ่ง | ฝาก | ไว้ | กับ | พระพรหม | สู้ | ศึก | กับ | พระราม
64,การแสดงโขนเรื่องรามเกียรติ์ ตอน ขับพิเภก,คืนหนึ่งทศกัณฐ์ฝันว่ามีพญาแร้งขนสีขาวบินมาจากทิศตะวันออก ร่อนมาที่หน้าพระลานวังทศกัณฐ์ตีกันกับแร้งดำที่มาจากทางทิศตะวันตก แร้งดำปราชัยกลายร่างเป็นยักษ์ มีกะลาน้ำมันยาง มีไส้กะลาวางเหนือมือทศกัณฐ์ มีหญิงนางหนึ่งวิ่งมาจุดไส้กะลา ไฟไหม้ติดมือ พิษร้อนแรงไปทั่วร่าง เมื่อตื่นขึ้นจึงเรียกพิเภกมาทำนาย พิเภกทำนายฝันว่า กะลาคือกรุงลงกา ไส้กะลาคือทศกัณฐ์ น้ำมันยางคือพระญาติวงศ์ทั้งหลาย เพลิงคือนางสีดา หญิงที่วิ่งมาจุดไฟคือนางสำมนักขา แร้งเผือกคือพระราม แร้งดำคือทศกัณฐ์ การศึกครั้งนี้ร้ายแรงนัก ทศกัณฐ์โกรธมากให้พิเภกสะเดาะเคราะห์ แต่พิเภกบอกว่าสะเดาะไม่ได้ทำให้ร้ายกลายเป็นดี หนทางเดียวคือคืนนางสีดาให้แก่พระราม ทศกัณฐ์โกรธพิเภกมากถึงขนาดตัดพี่ตัดน้อง ยึดเมียคือนางตรีชฎาไปเป็นทาสรับใช้นางสีดา ยึดสมบัติทั้งหมดแล้วขับไล่ออกไปจากเมือง,คืนหนึ่ง | ทศกัณฐ์ | ฝัน | ว่า | มี | พญา | แร้ง | ขน | สี | ขาว | บิน | มาจาก | ทิศตะวันออก |   | ร่อน | มา | ที่ | หน้า | พระลาน | วัง | ทศกัณฐ์ | ตี | กัน | กับ | แร้ง | ดำ | ที่ | มาจาก | ทาง | ทิศตะวันตก |   | แร้ง | ดำ | ปราชัย | กลายร่าง | เป็น | ยักษ์ |   | มี | กะลา | น้ำมันยาง |   | มี | ไส้กะลา | วาง | เหนือ | มือ | ทศกัณฐ์ |   | มี | หญิง | นาง | หนึ่ง | วิ่ง | มา | จุด | ไส้กะลา |   | ไฟไหม้ | ติดมือ |   | พิษ | ร้อนแรง | ไป | ทั่ว | ร่าง |   | เมื่อ | ตื่นขึ้น | จึง | เรียก | พิเภก | มา | ทำนาย |   | พิเภก | ทำนาย | ฝัน | ว่า |   | กะลา | คือ | กรุงลงกา |   | ไส้กะลา | คือ | ทศกัณฐ์ |   | น้ำมันยาง | คือ | พระญาติ | วงศ์ | ทั้งหลาย |   | เพลิง | คือ | นางสีดา |   | หญิง | ที่ | วิ่ง | มา | จุดไฟ | คือ | นาง | สำมนักขา |   | แร้ง | เผือก | คือ | พระราม |   | แร้ง | ดำ | คือ | ทศกัณฐ์ |   | การศึก | ครั้งนี้ | ร้ายแรง | นัก |   | ทศกัณฐ์ | โกรธ | มาก | ให้ | พิเภก | สะเดาะเคราะห์ |   | แต่ | พิเภก | บอกว่า | สะเดาะ | ไม่ | ได้ | ทำ | ให้ร้าย | กลายเป็น | ดี |   | หน | ทางเดียว | คือ | คืน | นางสีดา | ให้ | แก่ | พระราม |   | ทศกัณฐ์ | โกรธ | พิเภก | มาก | ถึงขนาด | ตัด | พี่ | ตัด | น้อง |   | ยึด | เมีย | คือ | นาง | ตรีชฎา | ไป | เป็น | ทาส | รับใช้ | นางสีดา |   | ยึด | สมบัติ | ทั้งหมด | แล้ว | ขับ | ไล่ออก | ไป | จาก | เมือง
65,การแสดงโขนเรื่องรามเกียรติ์ ตอน นางลอย,พิเภก ทำนายฝันว่า ทศกัณฐ์ จะแพ้สงครามและถูกฆ่าตาย ควรจะสะเดาะเคราะห์โดยคืนนางสีดาไปให้แก่พระราม แต่ทศกัณฐ์โกรธจึงขับพิเภกออกไปจากกรุงลงกา เมื่อพิเภกออกจากกรุงลงกาแล้ว จึงไปอยู่ด้วยกับกองทัพพระราม ทศกัณฐ์คิดหาทางยุติศึกชิงตัวนางสีดากับพระราม โดยคิดว่า ถ้าหากพระรามเห็นว่านางสีดาตายไปแล้ว พระรามคงจะยกทัพกลับไปเอง จึงให้นางเบญกายแปลงเป็นนางสีดา จำแลงกายเป็นศพลอยตามแม่น้ำไปที่หน้าพลับพลาของพระราม,พิเภก |   | ทำนาย | ฝัน | ว่า |   | ทศกัณฐ์ |   | จะ | แพ้ | สงคราม | และ | ถูก | ฆ่า | ตาย |   | ควรจะ | สะเดาะเคราะห์ | โดย | คืน | นางสีดา | ไป | ให้ | แก่ | พระราม |   | แต่ | ทศกัณฐ์ | โกรธ | จึง | ขับ | พิเภก | ออก | ไป | จาก | กรุงลงกา |   | เมื่อ | พิเภก | ออกจาก | กรุงลงกา | แล้ว |   | จึง | ไป | อยู่ | ด้วย | กับ | กองทัพ | พระราม |   | ทศกัณฐ์ | คิด | หาทาง | ยุติ | ศึก | ชิง | ตัว | นางสีดา | กับ | พระราม |   | โดย | คิด | ว่า |   | ถ้าหาก | พระราม | เห็นว่า | นางสีดา | ตาย | ไป | แล้ว |   | พระราม | คงจะ | ยกทัพ | กลับ | ไป | เอง |   | จึง | ให้ | นาง | เบญกาย | แปลง | เป็น | นางสีดา |   | จำแลง | กาย | เป็น | ศพ | ลอย | ตาม | แม่น้ำ | ไป | ที่ | หน้า | พลับพลา | ของ | พระราม
66,การแสดงโขนเรื่องรามเกียรติ์ ตอน พระรามตามกวาง,กวางทองคือมารีศพระยายักษ์ เป็นลูกของนางกากนาสูร ซึ่งรับพระราชบัญชาของทศกัณฐ์แปลงกายเป็นกวางทองมาล่อหลอกให้นางสีดาอยากได้กวางทอง พระรามจึงเสด็จตามกวางทองไปในป่าตามกลอุบายของทศกัณฐ์,กวางทอง | คือ | มารีศ | พระยา | ยักษ์ |   | เป็น | ลูก | ของ | นาง | กากนาสูร |   | ซึ่ง | รับ | พระราชบัญชา | ของ | ทศกัณฐ์ | แปลงกาย | เป็น | กวางทอง | มา | ล่อหลอก | ให้ | นางสีดา | อยากได้ | กวางทอง |   | พระราม | จึง | เสด็จ | ตาม | กวางทอง | ไป | ใน | ป่า | ตาม | กลอุบาย | ของ | ทศกัณฐ์
67,การแสดงโขนเรื่องรามเกียรติ์ ตอน ลักสีดา,ทศกัณฐ์หลงใหลในความงามของนางสีดา จากการฟังคำบอกเล่าของนางสำมนักขา จึงสั่งให้มารีศจำกายเป็นกวางทองไปล่อหลอกนางสีดา เมื่อนางสีดาเห็นกวางทองก็ขอให้พระรามไปตามจับ พระรามพบว่ามารีศเป็นยักษ์แปลงเป็นกวางจึงยิงด้วยศร ก่อนตายมารีศแกล้งทำเสียงเป็นพระรามร้องขอความช่วยเหลือนางสีดาได้ยิน จึงให้พระลักษมณ์ตามไปช่วย ทศกัณฐ์แปลงเป็นฤาษีแดงเข้าไปลักตัวนางสีดากลับเข้ากรุงลงกา,ทศกัณฐ์ | หลงใหล | ใน | ความงาม | ของ | นางสีดา |   | จาก | การ | ฟัง | คำบอกเล่า | ของ | นาง | สำมนักขา |   | จึง | สั่ง | ให้ | มารีศ | จำกาย | เป็น | กวางทอง | ไป | ล่อหลอก | นางสีดา |   | เมื่อ | นางสีดา | เห็น | กวางทอง | ก็ | ขอให้ | พระราม | ไป | ตาม | จับ |   | พระราม | พบ | ว่า | มารีศ | เป็น | ยักษ์ | แปลง | เป็น | กวาง | จึง | ยิง | ด้วย | ศร |   | ก่อน | ตาย | มารีศ | แกล้งทำ | เสียง | เป็น | พระราม | ร้อง | ขอความช่วยเหลือ | นางสีดา | ได้ยิน |   | จึง | ให้ | พระลักษมณ์ | ตาม | ไป | ช่วย |   | ทศกัณฐ์ | แปลง | เป็น | ฤาษี | แดง | เข้าไป | ลักตัว | นางสีดา | กลับ | เข้า | กรุงลงกา
68,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกพรหมาสตร์,สองสารัณยักษ์ได้กราบทูลทศกัณฐ์ เรื่องที่มังกรกัณฐ์และแสงอาทิตย์ผู้เป็นหลาน ถูกฝ่ายพระรามสังหารสิ้นชีวิต ทศกัณฐ์จึงใช้กาลสูรให้ไปแจ้งข่าวศึกแก่อินทรชิต กาลสูรรีบไปตามพระบัญชา ขณะนั้นอินทรชิตกำลังทำพิธีชุบศรพรหมาสตร์จึงกริ้วโกรธที่กาลสูรมาทูลเรื่องร้ายให้เป็นลางกลางพิธี แต่ก็ไม่อาจขัดรับสั่งได้จำต้องออกจากพิธี แล้วสั่งให้รุทการเตรียมจัดกองทัพ โดยตนเองแปลงตัวเป็นพระอินทร์ให้การุณราชแปลงกายเป็นช้างเอราวัณ และไพร่พลแปลงตนเป็นเทวดานางฟ้า หมายจะล่อลวงฝ่ายพระรามให้หลงกล,สอง | สารัณ | ยักษ์ | ได้ | กราบทูล | ทศกัณฐ์ |   | เรื่อง | ที่ | มังกรกัณฐ์ | และ | แสงอาทิตย์ | ผู้ | เป็น | หลาน |   | ถูก | ฝ่าย | พระราม | สังหาร | สิ้นชีวิต |   | ทศกัณฐ์ | จึง | ใช้ | กาลสูร | ให้ | ไป | แจ้ง | ข่าว | ศึก | แก่ | อินทรชิต |   | กาลสูร | รีบ | ไป | ตาม | พระ | บัญชา |   | ขณะนั้น | อินทรชิต | กำลัง | ทำพิธี | ชุบ | ศรพรหมาสตร์ | จึง | กริ้ว | โกรธ | ที่ | กาลสูร | มา | ทูล | เรื่อง | ร้าย | ให้ | เป็น | ลาง | กลาง | พิธี |   | แต่ | ก็ | ไม่ | อาจ | ขัด | รับสั่ง | ได้ | จำต้อง | ออกจาก | พิธี |   | แล้ว | สั่ง | ให้ | รุทการ | เตรียม | จัด | กองทัพ |   | โดย | ตนเอง | แปลงตัว | เป็น | พระอินทร์ | ให้ | การุณราช | แปลงกาย | เป็น | ช้างเอราวัณ |   | และ | ไพร่พล | แปลง | ตน | เป็น | เทวดา | นางฟ้า |   | หมาย | จะ | ล่อลวง | ฝ่าย | พระราม | ให้ | หลงกล
69,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญจำบัง,เป็นโอรสของพญาทูษณ์ กษัตริย์เมืองจารึกองค์ที่หนึ่ง โอรสองค์ที่ห้าของท้าวลัสเตียนกับนางรัชฎา น้องชายร่วมบิดามารดาของทศกัณฐ์ วิรุณจำบังมีม้าทรงคู่ใจตัวดำปากแดงชื่อนิลพาหุ ซึ่งสามารถหายตัวได้ทั้งตนและม้า วิรุณจำบังรับอาสาทศกัณฐ์ยกทัพไปทำสงครามกับพระรามและพลวานร ซึ่งกำลังมุ่งหน้ามาที่กรุงลงกาเพื่อทวงนางสีดาคืน โดยไปสมทบกับทัพของท้าวสัทธาสูร เจ้าเมืองอัสดง สหายอีกตนของทศกัณฐ์,เป็น | โอรส | ของ | พญาทูษณ์ |   | กษัตริย์ | เมือง | จารึก | องค์ | ที่หนึ่ง |   | โอรส | องค์ | ที่ | ห้า | ของ | ท้าวลัสเตียน | กับ | นาง | รัชฎา |   | น้องชาย | ร่วม | บิดา | มารดา | ของ | ทศกัณฐ์ |   | วิรุณจำบัง | มี | ม้า | ทรง | คู่ใจ | ตัว | ดำ | ปาก | แดง | ชื่อ | นิลพาหุ |   | ซึ่ง | สามารถ | หายตัว | ได้ | ทั้ง | ตน | และ | ม้า |   | วิรุณจำบัง | รับอาสา | ทศกัณฐ์ | ยกทัพ | ไป | ทำสงคราม | กับ | พระราม | และ | พลวานร |   | ซึ่ง | กำลัง | มุ่งหน้า | มา | ที่ | กรุงลงกา | เพื่อ | ทวง | นางสีดา | คืน |   | โดย | ไป | สมทบ | กับ | ทัพ | ของ | ท้าวสัทธาสูร |   | เจ้าเมือง | อัสดง |   | สหาย | อีก | ตน | ของ | ทศกัณฐ์
70,การแสดงโขนเรื่องรามเกียรติ์ ตอน ศึกวิรุญมุข  ,"วิรุญมุขเป็นโอรสวิรุญจำบัง ขณะที่อินทรชิตทำพิธีชุบศรนาคบาศที่เขาอังกาศ ทศกัณฐ์ให้มังกรกัณฐ์
มาขัดตาทัพแต่ถูกฆ่าตาย จึงให้วิรุญมุขไปขัดตาทัพอีกครั้ง วิรุญมุขนอกจากสามารถเหาะเหินเดินอากาศ ได้แล้วยังหายตัวพรางกายได้เป็นเยี่ยม เมื่อชามพูวราชรับอาสาพระรามไปทำลายพิธีอินทรชิต โดยแปลงร่างเป็นหมีไปกัดไม้โรงพิธีจนหักพังอินทรชิตจึงชุบศรไม่สำเร็จก็กลับมายังสมรภูมิรบร่วมกับวิรุญมุข วิรุญมุขได้ใช้วิชาหายตัวฆ่าพลลิงตายเป็นจำนวนมาก พิเภกจึงทูลพระลักษมณ์ว่าเหตุที่ลิงตายเพราะวิรุญมุขหายตัวฆ่าพลลิง พระลักษมณ์จึงแผลงศรเป็นข่ายเหล็กรัดตัววิรุญมุขแล้วบัญชาให้หนุมานสักหน้าวิรุญมุขก่อนปล่อยตัวไป","วิรุญมุข | เป็น | โอรส | วิรุญจำบัง |   | ขณะที่ | อินทรชิต | ทำพิธี | ชุบ | ศรนาคบาศ | ที่ | เขาอังกาศ |   | ทศกัณฐ์ | ให้ | มังกรกัณฐ์ | 
 | มา | ขัดตาทัพ | แต่ | ถูก | ฆ่า | ตาย |   | จึง | ให้ | วิรุญมุข | ไป | ขัดตาทัพ | อีกครั้ง |   | วิรุญมุข | นอกจาก | สามารถ | เหาะ | เหิน | เดินอากาศ |   | ได้ | แล้ว | ยัง | หายตัว | พราง | กาย | ได้ | เป็น | เยี่ยม |   | เมื่อ | ชามพูวราช | รับอาสา | พระราม | ไป | ทำลาย | พิธี | อินทรชิต |   | โดย | แปลงร่าง | เป็น | หมี | ไป | กัด | ไม้ | โรง | พิธี | จน | หัก | พัง | อินทรชิต | จึง | ชุบ | ศร | ไม่ | สำเร็จ | ก็ | กลับ | มายัง | สมรภูมิ | รบ | ร่วมกับ | วิรุญมุข |   | วิรุญมุข | ได้ | ใช้ | วิชา | หายตัว | ฆ่า | พลลิง | ตาย | เป็น | จำนวนมาก |   | พิเภก | จึง | ทูล | พระลักษมณ์ | ว่า | เหตุ | ที่ | ลิง | ตาย | เพราะ | วิรุญมุข | หายตัว | ฆ่า | พลลิง |   | พระลักษมณ์ | จึง | แผลงศร | เป็น | ข่ายเหล็ก | รัดตัว | วิรุญมุข | แล้ว | บัญชา | ให้ | หนุมาน | สัก | หน้า | วิรุญมุข | ก่อน | ปล่อยตัว | ไป"
