item,gold_tokens,predicted_tokens,TP,FP,FN,FP_words,FN_words
ระบำเทพบันเทิง,"ผู้แสดง, ระบำมาตรฐาน, ละครใน, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร","ชาวนา, ตารี, ตำรา, บิดา, ผู้แสดง, ระบำมาตรฐาน, รำมาตรฐาน, ละครใน, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, องคต, องค์ปะตาระกาหลา, อิเหนา, เทพธิดา, เทพบุตร, แต่งกายยืนเครื่องพระ, ใบชา",7,11,0,"ชาวนา, ตารี, ตำรา, บิดา, รำมาตรฐาน, สิ่งศักดิ์สิทธิ์, สีน้ำเงิน, สีแดง, องคต, แต่งกายยืนเครื่องพระ, ใบชา",
ระบำนพรัตน์,"ทับทิม, บุษราคัม, ผู้แสดง, มรกต, อัญมณี, เพทาย, โกเมน, ไพฑูรย์","ทับทิม, นิ้วเพชร, บุษราคัม, ผู้แสดง, มรกต, สังสรรค์, สีน้ำเงิน, สีแดง, อัญมณี, อุษา, เพทาย, โกเมน, ไพฑูรย์",8,5,0,"นิ้วเพชร, สังสรรค์, สีน้ำเงิน, สีแดง, อุษา",
ระบำพรมมาสตร์,"กลยุทธ, กลางอากาศ, กองทัพ, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, พรหมาสตร์, พระลักษมณ์, พระอินทร์, วานร, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, โอรส","กลยุทธ, กลางอากาศ, กองทัพ, กะลา, การยุติ, การรบ, การศึก, การุณราช, ช้างเอราวัณ, ทศกัณฐ์, นางฟ้า, นางใน, พรหมาสตร์, พระจันทร์, พระลอ, พระลักษมณ์, พระศิวะ, พระอินทร์, พระอิศวร, รำลึก, วานร, สงคราม, สภาพอากาศ, สีน้ำเงิน, สีแดง, สุรินทร์, องคต, อาสา, อินทรชิต, เทพบุตร, เทวดา, แปลงกาย, แหล่งน้ำ, โอรส, ไทยทรงดำ",16,19,0,"กะลา, การยุติ, การรบ, การศึก, นางใน, พระจันทร์, พระลอ, พระศิวะ, พระอิศวร, รำลึก, สงคราม, สภาพอากาศ, สีน้ำเงิน, สีแดง, สุรินทร์, องคต, อาสา, แหล่งน้ำ, ไทยทรงดำ",
ระบำย่องหงิด,"กระบวนท่ารำ, การแปร, จับระบำ, นางฟ้า, ละครใน, วาดรูป, ศุภลักษณ์, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา","กระบวนท่ารำ, กะลา, การปั้น, การรบ, การแปร, งานรื่นเริง, จับระบำ, ตารี, นางฟ้า, บิดา, พระพี่เลี้ยง, ละครใน, วาดรูป, วานร, ศุภลักษณ์, สีน้ำเงิน, สีแดง, อาสา, อุณรุท, อุษา, เทพธิดา, เทพบุตร, เทวดา, แหล่งน้ำ, ไทยทรงดำ",13,12,0,"กะลา, การปั้น, การรบ, งานรื่นเริง, ตารี, บิดา, พระพี่เลี้ยง, วานร, สีน้ำเงิน, สีแดง, แหล่งน้ำ, ไทยทรงดำ",
ระบำวิชนี,"นางใน, ผู้แสดง, ราชสำนัก, วิชนี, สภาพอากาศ, หญิงสาว","การขับร้อง, ความสำนึก, นางใน, ผู้แสดง, มโนราห์, ราชสำนัก, วานร, วิชนี, สภาพอากาศ, สังสรรค์, สำนึก, สีน้ำเงิน, สีแดง, หญิงสาว, อาสา, แหล่งน้ำ",6,10,0,"การขับร้อง, ความสำนึก, มโนราห์, วานร, สังสรรค์, สำนึก, สีน้ำเงิน, สีแดง, อาสา, แหล่งน้ำ",
ระบำศรีชยสิงห์,"กาญจนบุรี, จารึก, ดินแดน, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, แควน้อย","กาญจนบุรี, จารึก, ดินแดน, ธงไทย, นางอัปสราบายน, ปราสาทพระขรรค์, ปราสาทเมืองสิงห์, พระเจ้าชัยวรมัน, ภาพจำหลัก, วานร, สังสรรค์, องคต, อาสา, แควน้อย, แหล่งน้ำ, ไทยทรงดำ",9,7,0,"ธงไทย, วานร, สังสรรค์, องคต, อาสา, แหล่งน้ำ, ไทยทรงดำ",
รำซัดชาตรี,"รำคู่, ละครชาตรี, ละครใน, เบิกโรง, ไหว้ครู","การรบ, ตารี, ที่รัก, ผู้แสดง, รำคู่, รำพัด, ละครชาตรี, ละครใน, สีน้ำเงิน, สีแดง, อเนก, เบิกโรง, แหล่งน้ำ, ไหว้ครู",5,9,0,"การรบ, ตารี, ที่รัก, ผู้แสดง, รำพัด, สีน้ำเงิน, สีแดง, อเนก, แหล่งน้ำ",
รำเบิกโรงดอกไม้เงินทอง,"ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, ละครใน, สวัสดิมงคล, เบิกโรง, แต่งกายยืนเครื่องพระ","กะลา, ช่อดอกไม้, ดอกไม้เงิน, ผู้แสดง, พระบาทสมเด็จพระจอมเกล้าเจ้าอยู่หัว, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระยา, พระลอ, ละครใน, สวัสดิมงคล, สีทอง, สีน้ำเงิน, สีแดง, อเนก, เบิกโรง, แต่งกายยืนเครื่องพระ, แหล่งน้ำ",7,10,0,"กะลา, ช่อดอกไม้, พระบาทสมเด็จพระจุลจอมเกล้าเจ้าอยู่หัว, พระยา, พระลอ, สีทอง, สีน้ำเงิน, สีแดง, อเนก, แหล่งน้ำ",
รำประเลง,"ปิดหน้า, ผู้แสดง, รังควาญ, ละครใน, สวัสดิมงคล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, โคมเวียน","การรบ, ทะเล, ปิดหน้า, ผู้แสดง, มโนราห์, รังควาญ, ละครใน, สวัสดิมงคล, สิ่งศักดิ์สิทธิ์, สีแดง, หลงกล, หางนกยูง, อิทธิฤทธิ์, อุปสรรค, เทวดา, เบิกโรง, เพลงกลม, เพลงชำนาญ, เพลงสากล, เพลงหน้าพาทย์, เรื่องใหญ่, เสนียดจัญไร, แต่งกายยืนเครื่องพระ, แหล่งน้ำ, โคมเวียน, ไทยทรงดำ",17,9,0,"การรบ, ทะเล, มโนราห์, สิ่งศักดิ์สิทธิ์, สีแดง, หลงกล, เพลงสากล, แหล่งน้ำ, ไทยทรงดำ",
รำฝรั่งคู่,"จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว","การรบ, จีนรัว, จีนรำพัด, ตะเขิ่ง, ผู้แสดง, รำคู่, รำพัด, สีแดง, เจ้าเซ็น, เพลงฉิ่ง, เพลงฝรั่งรำเท้า, เพลงเร็ว, แต่งกายยืนเครื่องพระ, แหล่งน้ำ",9,5,0,"การรบ, รำพัด, สีแดง, แต่งกายยืนเครื่องพระ, แหล่งน้ำ",
รำพลายชุมพล,"ขุนช้าง, ขุนแผน, พระไวย, พลายชุมพล, รำเดี่ยว, ออกรบ, เพลงมอญดูดาว, แก้แค้น, แตกทัพ","กะลา, การรบ, การศึก, ขุนช้าง, ขุนแผน, ชุมพร, พระไวย, พลายชุมพล, รำพัด, รำเดี่ยว, ละครเสภา, สีน้ำเงิน, สีแดง, องคต, ออกรบ, อาสา, เพลงมอญดูดาว, แก้แค้น, แตกทัพ, แหล่งน้ำ, ไทยทรงดำ",9,12,0,"กะลา, การรบ, การศึก, ชุมพร, รำพัด, ละครเสภา, สีน้ำเงิน, สีแดง, องคต, อาสา, แหล่งน้ำ, ไทยทรงดำ",
รำมโนห์ราบูชายัญ,"กองไฟ, บินหนี, บูชายัญ, ผู้หญิง, รำเดี่ยว, เขาไกรลาส","กองไฟ, กะลา, การรบ, บินหนี, บูชายัญ, ผู้หญิง, รำเดี่ยว, สีน้ำเงิน, สีแดง, เขาไกรลาส, เขาไกลลาศ, โมโห, ใบชา",6,7,0,"กะลา, การรบ, สีน้ำเงิน, สีแดง, เขาไกลลาศ, โมโห, ใบชา",
รำแม่บท,"กระบวนท่ารำ, รำมาตรฐาน, แม่บท","กระบวนท่ารำ, การรบ, การศึก, จารึก, ตำรา, ระบำมาตรฐาน, รำมาตรฐาน, ล้านนา, องคต, แต่งกายยืนเครื่องพระ, แม่บท",3,8,0,"การรบ, การศึก, จารึก, ตำรา, ระบำมาตรฐาน, ล้านนา, องคต, แต่งกายยืนเครื่องพระ",
หนุมานจับนางเบญกาย,"จับนาง, ทศกัณฐ์, นางสีดา, พระราม, มูลเหตุ, ยักษิณี, ลอยน้ำ, วานร, หนุมาน, หลบหนี, อุบาย, เบญกาย","การยุติ, การเกี้ยวพาราสี, การไถ, จับนาง, ชายหนุ่ม, ทศกัณฐ์, นางสีดา, นางใน, บิดา, พระยา, พระราม, มูลเหตุ, มโนราห์, ยักษิณี, ลอยน้ำ, วานร, สีน้ำเงิน, สีแดง, หนุมาน, หลบหนี, หายตัว, อุบาย, อุษา, เบญกาย, ไทยทรงดำ",12,13,0,"การยุติ, การเกี้ยวพาราสี, การไถ, ชายหนุ่ม, นางใน, บิดา, พระยา, มโนราห์, สีน้ำเงิน, สีแดง, หายตัว, อุษา, ไทยทรงดำ",
หนุมานจับนางสุพรรณมัจฉา,"กระบวนท่ารำ, กรุงลงกา, กองทัพ, การเกี้ยวพาราสี, ก้อนหิน, จับนาง, นางสีดา, บริวาร, ผู้หญิง, พระราม, มหาสมุทร, มูลเหตุ, วานร, สุพรรณมัจฉา, หนุมาน","กระบวนท่ารำ, กรุงลงกา, กองทัพ, การยุติ, การเกี้ยวพาราสี, การเดินทาง, การไถ, ก้อนหิน, จับนาง, ชาวนา, นางสีดา, บริวาร, ผู้หญิง, พระยา, พระราม, มหาสมุทร, มูลเหตุ, วานร, สัตว์น้ำ, สีน้ำเงิน, สีแดง, สุพรรณมัจฉา, หนุมาน, องคต, ไทยทรงดำ",15,10,0,"การยุติ, การเดินทาง, การไถ, ชาวนา, พระยา, สัตว์น้ำ, สีน้ำเงิน, สีแดง, องคต, ไทยทรงดำ",
ระบำเซียงแสน,"ปูนปั้น, พุทธศตวรรษ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, ระบำโบราณคดี, โบราณสถาน","กะลา, การปั้น, จิตรกรรม, ชาวเหนือ, ตารี, ปูนปั้น, พุทธศตวรรษ, ภาคตะวันออกเฉียงเหนือ, ภาคเหนือ, ภาพจิตรกรรมฝาผนัง, มลายู, มโนราห์, ระบำโบราณคดี, สังสรรค์, สี่ภาค, อาสา, แหล่งน้ำ, โบราณสถาน",6,12,0,"กะลา, การปั้น, จิตรกรรม, ชาวเหนือ, ตารี, ภาคตะวันออกเฉียงเหนือ, มลายู, มโนราห์, สังสรรค์, สี่ภาค, อาสา, แหล่งน้ำ",
ระบำทวารวดี,"จิตรกรรม, ดินแดน, พุทธศตวรรษ, ระบำโบราณคดี, สมัยทวารวดี, เชื้อชาติ, โบราณวัตถุ","การดีด, งานประติมากรรม, จิตรกรรม, ดินแดน, ตารี, นิสัย, พุทธศตวรรษ, มโนราห์, ระบำโบราณคดี, วานร, สมัยทวารวดี, สังสรรค์, องคต, เชื้อชาติ, โบราณวัตถุ",7,8,0,"การดีด, งานประติมากรรม, ตารี, นิสัย, มโนราห์, วานร, สังสรรค์, องคต",
ระบำลพบุรี,"ดินแดน, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พุทธศตวรรษ, ภาพจำหลัก, ระบำโบราณคดี, สมัยลพบุรี, หน้าบัน","การปั้น, การรบ, งานประติมากรรม, จำกาย, ดินแดน, ตารี, ทับหลัง, นครราชสีมา, บุรีรัมย์, ปราสาทพนมรุ้ง, ปราสาทหินพิมาย, พาลี, พุทธศตวรรษ, ภาพจำหลัก, มโนราห์, รจนา, ระบำโบราณคดี, สมัยลพบุรี, สังสรรค์, สีน้ำเงิน, หน้าบัน, องคต, อาสา, แหล่งน้ำ",11,13,0,"การปั้น, การรบ, งานประติมากรรม, จำกาย, ตารี, พาลี, มโนราห์, รจนา, สังสรรค์, สีน้ำเงิน, องคต, อาสา, แหล่งน้ำ",
ระบำศรีวิชัย,"ชุมพร, ดินแดน, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, ระบำโบราณคดี, สมัยศรีวิชัย, หมู่เกาะ, หลักฐาน, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ","การปั้น, การรบ, จำกาย, ชุมพร, ดินแดน, ตารี, นครศรีธรรมราช, ปัตตานี, พุทธศตวรรษ, มลายู, มโนราห์, รจนา, ระบำโบราณคดี, สมัยศรีวิชัย, สังสรรค์, หมู่เกาะ, หลักฐาน, องคต, อาสา, อินโดนีเซีย, แหลมมลายู, โบราณวัตถุ",12,10,0,"การปั้น, การรบ, จำกาย, ตารี, มลายู, มโนราห์, รจนา, สังสรรค์, องคต, อาสา",
ระบำสุโขทัย,"ปางลีลา, ปูนปั้น, พระพุทธรูป, พุทธศตวรรษ, ระบำโบราณคดี, สมัยสุโขทัย, หล่อสำริด","การปั้น, งานประติมากรรม, ตารี, บิดา, ปางลีลา, ปูนปั้น, พระพุทธรูป, พาลี, พุทธศตวรรษ, มโนราห์, ระบำโบราณคดี, สมัยสุโขทัย, สังสรรค์, หล่อสำริด, องคต, อสูร",7,9,0,"การปั้น, งานประติมากรรม, ตารี, บิดา, พาลี, มโนราห์, สังสรรค์, องคต, อสูร",
ฉุยฉายทศกัณฐ์ลงสวน,"กรุงลงกา, ความภาคภูมิใจ, ทศกัณฐ์, นางสีดา, พวงมาลัย","กรุงลงกา, กะลา, การยุติ, การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พวงมาลัย, สะล้อ, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",5,9,0,"กะลา, การยุติ, การเกี้ยวพาราสี, ฉุยฉาย, สะล้อ, สีน้ำเงิน, สีแดง, องคต, แหล่งน้ำ",
ฉุยฉายเบญกาย,"การยุติ, ความภาคภูมิใจ, ทศกัณฐ์, นางสีดา, พระราม, สงคราม, อุบาย, เบญกาย, แปลงกาย","กะลา, การยุติ, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, นางสีดา, พระพรหม, พระยา, พระราม, สงคราม, สังข์ทอง, สีน้ำเงิน, สีแดง, องคต, อุบาย, อุษา, เบญกาย, แปลงกาย",9,9,0,"กะลา, ฉุยฉาย, พระพรหม, พระยา, สังข์ทอง, สีน้ำเงิน, สีแดง, องคต, อุษา",
ฉุยฉายพราหมณ์,"พระคเณศ, พระนารายณ์, พระอิศวร, พระอุมา, มเหสี, เทพเจ้า, เบิกโรง, แปลงกาย","(ฮินดู, กะลา, ฉุยฉาย, พระคเณศ, พระนารายณ์, พระยา, พระลอ, พระศิวะ, พระอิศวร, พระอุมา, พราหมณ์), มเหสี, มโนราห์, รจนา, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุษา, เทพเจ้า, เบิกโรง, แปลงกาย",8,14,0,"(ฮินดู, กะลา, ฉุยฉาย, พระยา, พระลอ, พระศิวะ, พราหมณ์), มโนราห์, รจนา, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุษา",
ฉุยฉายยอพระกลิ่น,"ความภาคภูมิใจ, ฉุยฉาย, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก","กะลา, การเดินทาง, ความภาคภูมิใจ, ฉุยฉาย, พระลอ, พระสวามี, มณีพิชัย, ยอพระกลิ่น, ละครนอก, ละครใน, สวามี, สีน้ำเงิน, สีแดง, องคต",6,8,0,"กะลา, การเดินทาง, พระลอ, ละครใน, สวามี, สีน้ำเงิน, สีแดง, องคต",
ฉุยฉายวันทอง,"ขุนช้าง, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, บุตรชาย, พระไวย, มารดา, วันทอง, แปลงกาย","กะลา, การยุติ, การศึก, ขุนช้าง, ขุนแผน, ความภาคภูมิใจ, ความห่วงใย, ฉุยฉาย, ตำรา, บุตรชาย, พระไวย, มารดา, วันทอง, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุบาย, อุษา, แปลงกาย, แหล่งน้ำ, ไทยทรงดำ",9,13,0,"กะลา, การยุติ, การศึก, ฉุยฉาย, ตำรา, สีทอง, สีน้ำเงิน, สีแดง, องคต, อุบาย, อุษา, แหล่งน้ำ, ไทยทรงดำ",
ฉุยฉายศูรปนขา,"ความภาคภูมิใจ, ทศกัณฐ์, น้องสาว, พระราม, ยักษิณี, ศูรปนขา, แปลงกาย","กะลา, การยุติ, การเกี้ยวพาราสี, ความภาคภูมิใจ, ฉุยฉาย, ทศกัณฐ์, น้องสาว, พระพรหม, พระยา, พระราม, ยักษิณี, วานร, ศูรปนขา, สีน้ำเงิน, สีแดง, องคต, อาสา, แปลงกาย, แหล่งน้ำ",7,12,0,"กะลา, การยุติ, การเกี้ยวพาราสี, ฉุยฉาย, พระพรหม, พระยา, วานร, สีน้ำเงิน, สีแดง, องคต, อาสา, แหล่งน้ำ",
ฉุยฉายหนุมานทรงเครื่อง,"ทศกัณฐ์, ทหารเอก, พระราม, วานร, หนุมาน, อุบาย","กะลา, การยุติ, การรบ, การเดินทาง, ฉุยฉาย, ชายหนุ่ม, ทศกัณฐ์, ทหารเอก, พระยา, พระราม, มโนราห์, วานร, สงคราม, สีน้ำเงิน, สีแดง, หนุมาน, องคต, อุบาย, อุษา",6,13,0,"กะลา, การยุติ, การรบ, การเดินทาง, ฉุยฉาย, ชายหนุ่ม, พระยา, มโนราห์, สงคราม, สีน้ำเงิน, สีแดง, องคต, อุษา",
ชุมนุมฉุยฉาย,"ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ผู้แสดง","การรบ, ความภาคภูมิใจ, ฉุยฉาย, ชุมนุม, ชุมพร, ผู้แสดง, พราหมณ์), พลลิง, สีน้ำเงิน, สีแดง, องคต, แต่งกายยืนเครื่องพระ",4,8,0,"การรบ, ชุมพร, พราหมณ์), พลลิง, สีน้ำเงิน, สีแดง, องคต, แต่งกายยืนเครื่องพระ",
กราววีรชัยลิง,"กองทัพ, กิริยาอาการ, ความคล่องแคล่ว, ซุกซน, ท่าทาง, พระราม, วานร, สิบแปดมงกุฎ","กราววีรชัยลิง, กองทัพ, การยุติ, การรบ, กิริยาอาการ, ความคล่องแคล่ว, ความว่องไว, ซุกซน, ต่อสู้, ท่าทาง, พระยา, พระราม, วานร, สังสรรค์, สิบแปดมงกุฎ, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แหล่งน้ำ, ไทยทรงดำ",8,14,0,"กราววีรชัยลิง, การยุติ, การรบ, ความว่องไว, ต่อสู้, พระยา, สังสรรค์, สีน้ำเงิน, สีแดง, องคต, อสูร, อาสา, แหล่งน้ำ, ไทยทรงดำ",
